year,country,longitude,latitude,sales,charging_points,renewables_percent
2011,Australia,-25.274398,133.775136,49,,12
2012,Australia,-25.274398,133.775136,173,,12
2013,Australia,-25.274398,133.775136,191,,14
2014,Australia,-25.274398,133.775136,371,,13
2015,Australia,-25.274398,133.775136,759,,14
2016,Australia,-25.274398,133.775136,668,,16
2017,Australia,-25.274398,133.775136,1208,476,15
2018,Australia,-25.274398,133.775136,1803,727,19
2019,Australia,-25.274398,133.775136,6283,1920,21
2020,Australia,-25.274398,133.775136,5238,2300,24
2021,Australia,-25.274398,133.775136,17300,2302,29
2010,Belgium,50.503887,4.469936,35,,9
2011,Belgium,50.503887,4.469936,281,,13
2012,Belgium,50.503887,4.469936,1007,,14
2013,Belgium,50.503887,4.469936,613,378,17
2014,Belgium,50.503887,4.469936,1448,614,21
2015,Belgium,50.503887,4.469936,1685,1412,17
2016,Belgium,50.503887,4.469936,2292,1595,18
2017,Belgium,50.503887,4.469936,3040,1715,23
2018,Belgium,50.503887,4.469936,4168,2958,21
2019,Belgium,50.503887,4.469936,8947,6429,26
2020,Belgium,50.503887,4.469936,15071,8482,23
2021,Belgium,50.503887,4.469936,22229,12816,83
2012,Brazil,-14.235004,-51.92528,73.59999847,,77
2013,Brazil,-14.235004,-51.92528,133.6000061,,73
2014,Brazil,-14.235004,-51.92528,61,,74
2015,Brazil,-14.235004,-51.92528,59,,80
2016,Brazil,-14.235004,-51.92528,126,,79
2017,Brazil,-14.235004,-51.92528,28,,82
2018,Brazil,-14.235004,-51.92528,71,459,82
2019,Brazil,-14.235004,-51.92528,538,459,84
2020,Brazil,-14.235004,-51.92528,683,459,77
2021,Brazil,-14.235004,-51.92528,2041,459,62
2011,Canada,56.130366,-106.346771,220,,63
2012,Canada,56.130366,-106.346771,620,724,63
2013,Canada,56.130366,-106.346771,1640,1179,63
2014,Canada,56.130366,-106.346771,2825,2321,64
2015,Canada,56.130366,-106.346771,4380,3424,65
2016,Canada,56.130366,-106.346771,5220,4035,66
2017,Canada,56.130366,-106.346771,8714.551758,5841,66
2018,Canada,56.130366,-106.346771,22660,7940,66
2019,Canada,56.130366,-106.346771,32402,8951,67
2020,Canada,56.130366,-106.346771,36912,13194,67
